count,lon,lat
0,11.665126,47.506226
0,11.665126,47.506226
12,11.665126,47.506226
8,11.665126,47.506226
0,11.665126,47.506226
0,11.665126,47.506226
0,11.665126,47.506226
0,11.697929,47.512252
1,11.665126,47.506226
0,11.665126,47.506226
0,11.665126,47.506226
0,11.665126,47.506226
0,11.665126,47.506226
0,11.665126,47.506226
2,11.665126,47.506226
0,11.665126,47.506226
0,11.697929,47.512252
13,11.697917,47.512102
0,11.706415,47.500892
0,11.706262,47.499808
14,11.801709,47.514266
0,11.801988,47.514282
43,11.703674,47.439391
1,11.700084,47.438357
0,11.686192,47.439327
0,11.700091,47.438272
0,11.634516,47.452329
3,11.705769,47.434756
6,11.763590,47.441390
16,11.763428,47.441244
0,11.737919,47.429892
0,11.737919,47.429892
0,11.936713,47.359955
2,11.946710,47.394894
2,11.903558,47.419290
0,11.929960,47.367950
0,11.989410,47.394506
0,11.987559,47.384092
8,11.880401,47.414470
0,11.923486,47.358875
6,11.906148,47.460943
0,11.838799,47.382312
0,12.040028,47.427956
0,11.856537,47.338311
0,11.856537,47.338311
0,11.856537,47.338311
4,11.843240,47.339673
0,12.759472,46.804329
4,12.793428,46.807167
0,12.783530,46.789667
0,12.784457,46.851941
0,12.700453,46.821457
1,12.830632,46.812458
1,12.832502,46.812251
3,12.839389,46.808358
0,12.803983,46.860338
0,12.803990,46.860350
0,12.804823,46.862316
0,12.558312,46.773119
0,12.640607,46.766562
0,12.490883,46.728805
2,12.622754,46.724344
0,12.590874,46.709574
0,12.610331,46.709635
0,12.461543,46.735743
0,12.439437,46.755232
0,12.439865,46.750793
0,12.418821,46.753152
0,12.641895,46.693299
0,12.413730,46.748716
26,12.399638,46.770768
69,11.842070,47.258210
0,11.842070,47.258210
0,11.842070,47.258210
356,11.842070,47.258210
1,11.842070,47.258210
0,11.875363,47.284186
0,11.852252,47.264043
0,11.939732,47.248422
0,11.939732,47.248422
12,11.939732,47.248422
0,11.939732,47.248422
0,11.939732,47.248422
0,11.939732,47.248422
3,11.939732,47.248422
8,11.944035,47.252853
0,11.941452,47.247891
32,11.941452,47.247891
0,12.398393,46.776479
2,12.383051,46.774539
0,12.371453,46.808125
1,12.320721,46.806114
0,12.373282,46.716136
0,12.373282,46.716136
0,11.316143,47.195111
0,11.281041,47.182973
0,11.316143,47.195111
0,11.281041,47.182973
7,11.281041,47.182973
0,11.281041,47.182973
2,11.281041,47.182973
0,11.281041,47.182973
22,11.316143,47.195111
0,11.316143,47.195111
16,11.316143,47.195111
0,11.316143,47.195111
0,11.316421,47.194709
23,11.282421,47.183165
0,11.333352,47.211266
24,11.333352,47.211266
0,11.333352,47.211266
7,11.333352,47.211266
19,11.199494,47.240785
1,11.349632,47.257690
0,11.181749,47.242765
42,11.384167,47.259998
43,11.315230,47.155860
0,11.315230,47.155860
0,11.315230,47.155860
0,11.384111,47.264167
0,10.407282,47.268867
0,10.407282,47.268867
72,10.351621,47.262205
6,10.344433,47.260661
0,10.304425,47.347264
69,10.304425,47.347264
0,10.528416,47.274543
0,10.536009,47.268847
0,10.536366,47.268510
1,10.380235,47.152066
5,10.449994,47.359310
0,10.461161,47.360695
6,12.429293,47.475219
0,12.428111,47.484861
0,12.425840,47.495569
1,12.425840,47.495569
0,12.425344,47.497546
0,12.415550,47.494525
0,12.435193,47.493660
0,12.402974,47.496299
6,12.445536,47.506476
0,12.395561,47.496278
0,12.424115,47.515890
1,12.436572,47.515048
0,12.448154,47.515208
2,12.449377,47.519039
0,10.761720,47.418270
0,10.761720,47.418270
1,10.746197,47.411723
0,10.740100,47.415230
0,10.740100,47.415230
0,10.740100,47.415230
1,10.740100,47.415230
0,10.740100,47.415230
8,10.740100,47.415230
0,10.746197,47.411723
32,10.746197,47.411723
0,10.746197,47.411723
0,10.746197,47.411723
0,10.761720,47.418270
0,10.761720,47.418270
11,10.761720,47.418270
0,10.761720,47.418270
0,10.785356,47.474606
5,10.690727,47.471885
0,10.690727,47.471885
26,10.690727,47.471885
1,10.690727,47.471885
39,10.690727,47.471885
0,10.690727,47.471885
0,10.643134,47.444568
14,10.863280,47.384640
113,10.869822,47.391861
1,10.677302,47.482132
178,10.883877,47.399598
0,10.891080,47.373821
2,10.887633,47.365425
0,10.893862,47.353141
0,10.887996,47.397991
0,10.888824,47.400954
0,10.903300,47.402760
1,10.903267,47.402776
0,10.903267,47.402776
0,10.903267,47.402776
4,10.903267,47.402776
0,10.903267,47.402776
0,10.903267,47.402776
0,10.693572,47.248819
0,10.721859,47.241893
1,10.789816,47.285998
0,10.618286,47.151873
0,10.625936,47.145872
0,12.229310,47.461610
0,12.249036,47.476952
0,12.133640,47.274484
57,12.140043,47.280041
1,12.250818,47.478656
0,12.244470,47.419194
2,12.216106,47.432130
0,12.209432,47.441543
0,12.247516,47.412303
58,12.202901,47.464437
2,12.249020,47.490840
0,12.272450,47.492250
1,12.272450,47.492250
0,12.272450,47.492250
0,12.272450,47.492250
0,12.272450,47.492250
24,12.215070,47.630589
0,12.154070,47.645530
0,12.154070,47.645530
105,12.154070,47.645530
0,12.154070,47.645530
0,12.154070,47.645530
0,12.209578,47.577759
0,12.167916,47.579652
0,12.296819,47.660911
0,12.296819,47.660911
0,12.296819,47.660911
0,12.296819,47.660911
0,12.296819,47.660911
0,10.968862,47.384088
0,10.903267,47.402776
1,10.948546,47.406944
0,10.940531,47.413570
0,10.941880,47.426071
0,10.985296,47.421170
