count,lon,lat
11,11.394570,47.149766
10,11.394570,47.149766
0,11.394570,47.149766
13,11.407861,47.130739
0,11.407861,47.130739
60,11.407861,47.130739
0,11.407861,47.130739
1,10.142890,46.962160
0,10.120492,46.975938
0,10.120492,46.975938
0,10.120492,46.975938
0,10.120492,46.975938
0,10.120492,46.975938
1,10.120492,46.975938
0,10.120000,46.960817
0,10.120000,46.960817
0,10.120000,46.960817
0,10.120000,46.960817
11,10.120000,46.960817
7,10.120000,46.960817
0,10.120000,46.960817
0,10.183157,46.967463
0,10.139088,47.007240
0,10.139088,47.007240
0,10.139088,47.007240
1,10.292645,46.971570
0,10.204311,47.044786
0,10.093160,46.917949
0,10.308962,46.949729
0,10.309300,46.950315
20,10.316340,46.981330
0,10.316308,46.983845
6,10.317581,46.982482
700,10.322920,46.991770
0,12.028830,47.244140
7,12.077727,47.251791
0,12.035013,47.244680
0,12.014097,47.245920
0,12.155454,47.232102
0,12.090394,47.260657
4,12.090394,47.260657
0,12.090394,47.260657
0,12.090394,47.260657
0,12.090394,47.260657
33,12.090394,47.260657
0,12.090394,47.260657
7,12.090394,47.260657
2,12.096324,47.259038
5,12.114530,47.241366
1,11.957321,47.234663
0,12.118072,47.249389
0,11.702469,47.040543
0,11.718866,47.141537
0,11.723684,47.153913
0,11.696721,47.126081
49,10.597174,47.513010
0,10.597174,47.513010
0,10.597174,47.513010
0,10.597174,47.513010
8,10.597174,47.513010
0,10.597174,47.513010
0,10.597174,47.513010
0,10.597174,47.513010
2,10.562746,47.491698
31,10.558881,47.513010
28,10.542319,47.483554
2,10.536090,47.492050
0,10.536090,47.492050
30,10.536090,47.492050
1,10.536090,47.492050
0,10.536090,47.492050
0,10.536090,47.492050
0,10.536090,47.492050
0,10.536090,47.492050
326,10.542321,47.483564
0,10.542766,47.483201
0,10.588806,47.492603
0,10.588553,47.479818
6,11.483288,47.044262
0,11.443228,47.060499
4,11.415029,47.073049
0,11.413314,47.075349
4,11.413298,47.077361
0,11.412842,47.081743
0,11.420534,47.088028
7,11.405726,46.996050
0,11.405726,46.996050
0,11.405726,46.996050
0,11.405726,46.996050
0,11.405726,46.996050
8,11.569526,47.082222
2,11.159947,47.197245
1,11.138032,47.130881
134,11.111511,47.202693
0,11.100811,47.202822
83,11.084350,47.208355
0,11.333299,47.032483
1,11.324750,47.098500
0,11.324750,47.098500
0,11.324750,47.098500
0,11.324750,47.098500
28,11.324750,47.098500
0,11.324750,47.098500
0,11.324750,47.098500
0,11.324750,47.098500
0,11.507417,47.281610
0,11.507417,47.281610
0,11.507417,47.281610
0,11.507417,47.281610
0,11.507417,47.281610
0,11.507417,47.281610
0,11.512759,47.282168
84,11.496901,47.286100
3,11.448170,47.267000
0,11.448170,47.267000
0,11.448170,47.267000
0,11.543584,47.242138
0,11.544209,47.241895
0,11.544209,47.241895
0,11.544209,47.241895
0,11.544209,47.241895
21,11.451708,47.313707
0,11.601033,47.294903
1,11.601932,47.293601
0,11.601932,47.293601
11,10.342283,47.421677
30,10.342283,47.421677
0,10.342283,47.421677
0,10.342283,47.421677
0,10.342283,47.421677
0,10.342283,47.421677
0,10.342283,47.421677
0,11.420352,47.429525
0,11.568205,47.402366
12,11.568205,47.402366
0,11.568205,47.402366
6,11.568205,47.402366
1,11.568205,47.402366
1,11.568205,47.402366
0,11.568205,47.402366
0,11.452090,47.589860
0,11.616497,47.402727
0,11.295826,47.430260
0,11.670953,47.077062
0,11.679400,47.063638
0,11.663617,47.098232
0,11.679405,47.063668
0,11.702902,47.164008
0,11.580288,47.088086
0,11.580288,47.088086
0,11.580288,47.088086
1,11.580288,47.088086
1,11.580288,47.088086
0,11.628111,47.043370
0,12.653306,47.410013
0,12.653457,47.410024
44,11.758511,47.249266
39,11.775340,47.269586
0,11.757596,47.247553
0,11.824655,47.260058
3,11.824655,47.260058
24,11.824655,47.260058
0,11.824655,47.260058
0,11.824655,47.260058
0,11.836984,47.253280
0,11.836984,47.253280
0,11.836984,47.253280
4,11.836984,47.253280
44,11.836984,47.253280
2,11.836984,47.253280
0,10.950497,46.957529
17,10.983221,46.975907
5,10.975294,46.976122
0,11.002539,46.973521
0,11.002539,46.973521
0,11.003559,46.973930
0,11.011749,46.968670
0,10.988551,46.950143
0,10.967990,46.942370
19,10.931600,46.941197
0,11.064761,46.981687
0,11.064761,46.981687
0,10.924812,46.934524
4,10.787300,47.161382
0,10.787300,47.161382
0,10.787300,47.161382
0,10.783391,47.151342
8,10.783391,47.151342
0,10.783391,47.151342
0,10.783391,47.151342
0,10.783391,47.151342
20,10.759032,47.152147
0,10.759032,47.152147
0,10.759032,47.152147
0,10.784189,47.165971
2,10.784189,47.165971
0,10.784189,47.165971
2,10.794350,47.145840
0,10.794350,47.145840
4,10.794350,47.145840
0,10.794350,47.145840
13,10.794350,47.145840
0,10.794350,47.145840
0,10.794350,47.145840
22,10.864642,47.204919
0,10.858726,47.212552
0,10.648048,47.476601
0,10.734905,47.504743
1,10.734905,47.504743
0,10.734905,47.504743
