"('11.665126', '47.506226')",0,c1007
"('11.665126', '47.506226')",0,c9774
"('11.665126', '47.506226')",0,c9771
"('11.665126', '47.506226')",0,c9772
"('11.665126', '47.506226')",3,c9773
"('11.665126', '47.506226')",1,c9931
"('11.665126', '47.506226')",0,c9932
"('11.697929', '47.512252')",0,c7787
"('11.665126', '47.506226')",0,c1007
"('11.665126', '47.506226')",0,c1007
"('11.665126', '47.506226')",0,c9774
"('11.665126', '47.506226')",0,c9771
"('11.665126', '47.506226')",0,c9772
"('11.665126', '47.506226')",1,c9773
"('11.665126', '47.506226')",1,c9931
"('11.665126', '47.506226')",0,c9932
"('11.697929', '47.512252')",0,c7787
"('11.697917', '47.512102')",1,c15336
"('11.706415', '47.500892')",40,c20188
"('11.706262', '47.499808')",29,c21468
"('11.801709', '47.514266')",0,c21467
"('11.801988', '47.514282')",0,c9375
"('11.703674', '47.439391')",0,c23971
"('11.700084', '47.438357')",0,c14531
"('11.686192', '47.439327')",2,c9370
"('11.700091', '47.438272')",0,c2481
"('11.634516', '47.452329')",0,c9372
"('11.705769', '47.434756')",0,c9371
"('11.763590', '47.441390')",0,c541
"('11.763428', '47.441244')",0,c9369
"('11.737919', '47.429892')",28,c15850
"('11.737919', '47.429892')",52,c21469
"('11.936713', '47.359955')",0,c12093
"('11.946710', '47.394894')",0,c25649
"('11.903558', '47.419290')",1,c2977
"('11.929960', '47.367950')",0,c60
"('11.989410', '47.394506')",0,c189
"('11.987559', '47.384092')",0,c20763
"('11.880401', '47.414470')",0,c8574
"('11.923486', '47.358875')",0,c22632
"('11.906148', '47.460943')",0,c5135
"('11.838799', '47.382312')",11,c11212
"('12.040028', '47.427956')",0,c5206
"('11.856537', '47.338311')",0,c3251
"('11.856537', '47.338311')",0,c6936
"('11.856537', '47.338311')",0,c6937
"('11.843240', '47.339673')",0,c24713
"('12.759472', '46.804329')",20,c8458
"('12.793428', '46.807167')",2,c5963
"('12.783530', '46.789667')",0,c18795
"('12.784457', '46.851941')",0,c2068
"('12.700453', '46.821457')",8,c1301
"('12.830632', '46.812458')",22,c23965
"('12.832502', '46.812251')",0,c23968
"('12.839389', '46.808358')",0,c23966
"('12.803983', '46.860338')",0,c4877
"('12.803990', '46.860350')",13,c16069
"('12.804823', '46.862316')",0,c24146
"('12.558312', '46.773119')",0,c5967
"('12.640607', '46.766562')",0,c5968
"('12.490883', '46.728805')",6,c15425
"('12.622754', '46.724344')",5,c15845
"('12.590874', '46.709574')",4,c11670
"('12.610331', '46.709635')",2,c24888
"('12.461543', '46.735743')",0,c9282
"('12.439437', '46.755232')",0,c17572
"('12.439865', '46.750793')",0,c13487
"('12.418821', '46.753152')",0,c6282
"('12.641895', '46.693299')",0,c9476
"('12.413730', '46.748716')",0,c9094
"('12.399638', '46.770768')",0,c8684
"('11.842070', '47.258210')",0,c15315
"('11.842070', '47.258210')",0,c15316
"('11.842070', '47.258210')",7,c15317
"('11.842070', '47.258210')",3,c15318
"('11.842070', '47.258210')",0,c15401
"('11.875363', '47.284186')",0,c16299
"('11.852252', '47.264043')",13,c8911
"('11.939732', '47.248422')",3,c16119
"('11.939732', '47.248422')",0,c16118
"('11.939732', '47.248422')",0,c25621
"('11.939732', '47.248422')",2,c16120
"('11.939732', '47.248422')",5,c25625
"('11.939732', '47.248422')",0,c16117
"('11.939732', '47.248422')",1,c25626
"('11.944035', '47.252853')",0,c17344
"('11.941452', '47.247891')",0,c25678
"('11.941452', '47.247891')",0,c25683
"('12.398393', '46.776479')",0,c8983
"('12.383051', '46.774539')",0,c10133
"('12.371453', '46.808125')",0,c9085
"('12.320721', '46.806114')",0,c7355
"('12.373282', '46.716136')",2,c16318
